Erwin Koeman,Netherlands,4
Aleksandr Kokorin *,Russia,4
Denis Kolodin,Russia,4
Matúš Kozáčik,Slovakia,4
Ján Kozák,CSSR,4
Emil Krafth *,Sweden,4
Alex Král *,Czech Republic,4
Ivica Kralj,Yugoslavia,4
Michael Krmenčík *,Czech Republic,4
Bernard Lacombe,France,4
Konrad Laimer *,Austria,4
Stefan Lainer *,Austria,4
Frank Lampard,England,4
Ádám Lang *,Hungary,4
Martin Laursen,Denmark,4
Joleon Lescott,England,4
 Lima Pereira,Portugal,4
Anders Limpar,Sweden,4
Gennadiy Litovchenko,USSR,4
Dominik Livaković *,Croatia,4
Vratislav Lokvenc,Czech Republic,4
 Maceda,Spain,4
Krzysztof Mączyński,Poland,4
Ludovic Magnin,Switzerland,4
Sepp Maier,Germany,4
Donyell Malen *,Netherlands,4
Ruslan Malinovskiy *,Ukraine,4
Roberto Mancini,Italy,4
Ioannis Maniatis,Greece,4
 Marcos Llorente *,Spain,4
