,Herbert Wimmer,Germany,4,1,0,0.25
,Maryan Wisnieski,France,2,1,0,0.50
,Rob Witschge,Netherlands,4,1,0,0.25
,Axel Witsel *,Belgium,9,1,0,0.11
,Tony Woodcock,England,3,1,0,0.33
, Xavi,Spain,11,1,0,0.09
,Burak Yılmaz,Turkey,6,1,0,0.17
,Ante Žanetić,Yugoslavia,2,1,0,0.50
,Christian Ziege,Germany,8,1,0,0.13
,Oleksandr Zinchenko *,Ukraine,8,1,0,0.13
,Konstantin Zyryanov,Russia,7,1,0,0.14
