,Player,Country,Matches,Active
591,Christian Nørgaard,Denmark,5,True
592,Nuno Valente,Portugal,5,False
593,Viktor Onopko,RussiaCIS,5,False
594,Pablo Sarabia,Spain,5,True
595,Michał Pazdan,Poland,5,False
596,Pedro,Spain,5,True
597,Gianluca Pessotto,Italy,5,False
598,Petit,Portugal,5,False
599,Michel Platini,France,5,False
600,Yussuf Poulsen,Denmark,5,True
601,Oleg Protasov,USSR,5,False
602,Karel Rada,Czech Republic,5,False
603,Vladislav Radimov,Russia,5,False
604,Răzvan Raţ,Romania,5,False
605,Vasiliy Rats,USSR,5,False
606,Karl-Heinz Riedle,Germany,5,False
607,Hal Robson-Kanu,Wales,5,False
608,Rodri,Spain,5,True
609,Wolfgang Rolff,Germany,5,False
610,Willy Sagnol,France,5,False
611,Dimitrios Salpingidis,Greece,5,False
612,Georgios Samaras,Greece,5,False
613,Ebbe Sand,Denmark,5,False
614,Leroy Sané,Germany,5,True
615,Kenny Sansom,England,5,False
616,Birkir Sævarsson,Iceland,5,False
617,Patrik Schick,Czech Republic,5,True
618,Gordon Schildenfeld,Croatia,5,False
619,Michael Schjønberg,Denmark,5,False
620,Alessandro Schöpf,Austria,5,True
621,Piet Schrijvers,Netherlands,5,False
622,André Schürrle,Germany,5,False
623,Sergey Semak,Russia,5,False
624,Señor,Spain,5,False
625,Semih Şentürk,Turkey,5,False
626,Sergi Barjuán,Spain,5,False
627,Sérgio Conceição,Portugal,5,False
628,Petr Ševčík,Czech Republic,5,True
629,Mykola Shaparenko,Ukraine,5,True
630,Teddy Sheringham,England,5,False
631,Gylfi Sigurðsson,Iceland,5,True
632,Ragnar Sigurðsson,Iceland,5,False
633,Kolbeinn Sigþórsson,Iceland,5,False
634,Dario Šimić,Croatia,5,False
635,Milan Škriniar,Slovakia,5,True
636,Ari Skúlason,Iceland,5,True
637,Tomáš Souček,Czech Republic,5,True
638,Brian Steen Nielsen,Denmark,5,False
639,Taras Stepanenko,Ukraine,5,True
640,Thomas Strunz,Germany,5,False
641,Jan Suchopárek,Czech Republic,5,False
642,Dmitriy Sychev,Russia,5,False
643,Wojciech Szczęsny,Poland,5,True
644,Jean Tigana,France,5,False
645,Kieran Trippier,England,5,True
646,Tomáš Vaclík,Czech Republic,5,True
647,Willy van de Kerkhof,Netherlands,5,False
648,Gerald Vanenburg,Netherlands,5,False
649,Marco Verratti,Italy,5,True
650,Johann Vogel,Switzerland,5,False
651,Johan Vonlanthen,Switzerland,5,False
652,Zisis Vryzas,Greece,5,False
653,Ognjen Vukojević,Croatia,5,False
654,Jon Walters,Ireland,5,False
655,Danny Ward,Wales,5,True
656,Daniel Wass,Denmark,5,True
657,Glenn Whelan,Ireland,5,False
658,Sergen Yalçin,Turkey,5,False
659,Roman Yaremchuk,Ukraine,5,True
660,Ilya Zabarnyi,Ukraine,5,True
661,Aleksandr Zavarov,USSR,5,False
662,Jovan Aćimović,Yugoslavia,4,False
663,Adrien Silva,Portugal,4,True
664,Fatih Akyel,Turkey,4,False
665,Flórián Albert,Hungary,4,False
666,Niclas Alexandersson,Sweden,4,False
667,Alkorta,Spain,4,False
668,Marcus Allbäck,Sweden,4,False
669,Dele Alli,England,4,True
670,Álvaro,Portugal,4,False
671,Carlo Ancelotti,Italy,4,False
672,Henrik Andersen,Denmark,4,False
673,Jocelyn Angloma,France,4,False
674,António Sousa,Portugal,4,False
675,Frank Arnesen,Denmark,4,False
676,Aljoša Asanović,Croatia,4,False
677,Emre Aşık,Turkey,4,False
678,Ludwig Augustinsson,Sweden,4,True
